,control,control,control,control,desired change,desired change,desired change,desired change,difficulty changing,difficulty changing,difficulty changing,difficulty changing,genes,genes,genes,genes,internal distress,internal distress,internal distress,internal distress,mental illness,mental illness,mental illness,mental illness,punishment,punishment,punishment,punishment,wrongness,wrongness,wrongness,wrongness
,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD,n,M,SE,SD
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depression,481,3.0935550935550937,0.04379045983540473,1.530788209816284,481,5.885654885654886,0.03866090453241562,1.3514737470558904,481,5.006237006237006,0.038666863216479316,1.3516820454694052,481,4.043659043659043,0.03855873065029034,1.3479020427464,481,6.0686070686070686,0.032895790891867366,1.149941997392302,481,4.5634095634095635,0.044091653821431605,1.5413170831007974,481,3.821205821205821,0.027095223814273844,0.9471708977965434,481,2.8316008316008316,0.054204050436677934,1.8948173105427966
drugs,482,3.6016597510373445,0.04819929438348294,1.6849083531213898,482,4.769709543568465,0.0426150634646458,1.4896997418490314,482,5.614107883817427,0.03371730972138628,1.1786599268933007,482,3.2655601659751037,0.0432996405774024,1.5136305837916915,482,5.547717842323651,0.03894294400813389,1.3613330338903982,482,3.6742738589211617,0.052626018926032525,1.839653879048947,482,4.454356846473029,0.03256931635754218,1.1385293890335686,482,4.852697095435684,0.051493337768200226,1.8000586117599529
fetish,359,3.401114206128134,0.04805461122427594,1.6798506470569743,359,3.5710306406685235,0.04355579014754639,1.5225848341786465,359,5.077994428969359,0.04211165342294853,1.4721019783308993,359,2.9832869080779942,0.04365960458728645,1.5262138876519378,359,3.768802228412256,0.04520074890765333,1.580087849334692,359,3.2506963788300838,0.05331321017890732,1.863676103792498,359,4.13091922005571,0.022871534459235912,0.7995228965898706,359,3.4623955431754876,0.05900752310660365,2.062732864682563
gay,483,2.360248447204969,0.049775503820821826,1.740008090186238,483,2.652173913043478,0.04297031453699702,1.5021182950024705,483,6.250517598343685,0.03728206191405473,1.3032733848922455,483,4.182194616977226,0.05543399663574697,1.9378126832180327,483,3.790890269151139,0.04676043723826363,1.634610056145502,483,1.8592132505175984,0.04384760633875189,1.5327858867962674,483,4.045548654244306,0.01752982907350626,0.6127922786534038,483,2.3561076604554865,0.05731301394561585,2.0034977103860414
obese,639,5.021909233176839,0.03789689179833077,1.3247660648373767,639,5.416275430359938,0.03938363784526014,1.3767384197335055,639,4.766823161189358,0.041770001102286805,1.4601587983256894,639,3.948356807511737,0.035765643818259314,1.2502637807245613,639,5.602503912363067,0.035182428491057724,1.229876254536894,639,2.1658841940532083,0.04395684944015351,1.5366047106281773,639,4.018779342723005,0.01839376288499259,0.6429929136240362,639,3.809076682316119,0.05276606360056225,1.8445494370637106
pedophile,482,3.732365145228216,0.05416519653270488,1.893459090091789,482,4.091286307053942,0.04841878108955527,1.692580975494612,482,5.734439834024896,0.04045584419948547,1.4142196622622971,482,2.991701244813278,0.04626221785687755,1.6171937431450414,482,4.869294605809128,0.048327023387529096,1.6893733908072297,482,5.618257261410788,0.04852015067741506,1.6961245639956906,482,5.408713692946058,0.038394762275733456,1.342170181160619,482,6.6037344398340245,0.03155629788243262,1.1031171840954963
psychopath,483,2.6356107660455486,0.04599141859096805,1.6077273816352646,483,3.020703933747412,0.04843534147141062,1.6931598786938349,483,6.157349896480331,0.03397884065502893,1.1878022942314619,483,4.3312629399585925,0.042721322834404774,1.4934142630260356,483,2.8095238095238093,0.053762740879450224,1.879390400900314,483,5.877846790890269,0.043757808940328796,1.529646828670485,483,4.784679089026915,0.035435721056878026,1.2387306322906122,483,5.565217391304348,0.047064720670438376,1.645246927559196
racist,486,5.7181069958847734,0.04141157265670617,1.4476291733658257,486,2.60082304526749,0.041455939899834794,1.4491801242564653,486,4.895061728395062,0.04299610177870378,1.5030197426172462,486,2.0020576131687244,0.0417082940781067,1.4580016986872506,486,3.133744855967078,0.051177878339635385,1.7890310597374888,486,2.578189300411523,0.05051790770018543,1.765960389150966,486,5.11522633744856,0.0356099771048234,1.2448221212744366,486,6.2366255144032925,0.038833881719692924,1.3575205307582452
schizophrenia,481,2.1226611226611225,0.04070276913059743,1.4228514458671493,481,5.902286902286902,0.03825520434464862,1.337291638293206,481,5.918918918918919,0.03565873927159094,1.2465267060231118,481,4.929313929313929,0.037516969101120505,1.3114850628173664,481,6.241164241164241,0.03339188498509157,1.1672840164467149,481,6.363825363825364,0.03082479574659694,1.077545978650255,481,3.1185031185031185,0.03869471934222563,1.3526558153047488,481,3.343035343035343,0.0609134298517592,2.1293578689748087
transgender,512,3.0390625,0.05833856824857153,2.039348131719628,512,4.2890625,0.05587071601609915,1.9530791335123248,512,5.787109375,0.04261094842460111,1.4895558919144283,512,3.970703125,0.054113873187039745,1.8916649739137976,512,5.76171875,0.041988826625210474,1.4678083076425015,512,2.951171875,0.060023857852883014,2.098260996898545,512,4.078125,0.019558669000745793,0.6837146725240416,512,2.89453125,0.06069412142496248,2.121691478731006
